TRT	STY	SYM	MKT	PRC	SIZ	TCK	LQI
2018-11-23 10:44:17.786	STR-PRD	EBDAXTS63	RGSP	87.700000	15	16869131	1
2018-11-23 10:44:42.925	STR-PRD	BKDOWTL57	RGSP	6.270000	100	16869132	1
2018-11-23 10:46:48.453	SHARE	EFO	REGS	0.087000	25000	16869133	1
2018-11-23 10:46:48.455	SHARE	EFO	REGS	0.087000	20000	16869134	1
2018-11-23 10:46:48.456	SHARE	EFO	REGS	0.087000	4000	16869135	1
2018-11-23 10:46:48.458	SHARE	EFO	REGS	0.088000	16000	16869136	1
2018-11-23 10:47:07.879	SHARE	EFO	REGS	0.088000	67430	16869137	1
2018-11-23 10:47:40.59	SHARE	TLV	REGS	2.335000	1000	16869138	2
2018-11-23 10:47:42.495	SHARE	SIF1	REGS	2.230000	2182	16869139	2
2018-11-23 10:47:42.497	SHARE	SIF1	REGS	2.230000	818	16869140	2
2018-11-23 10:47:46.587	STR-PRD	EBFPTL18	RGSP	0.990000	1000	16869141	2
2018-11-23 10:47:55.418	SHARE	SIF1	REGS	2.230000	182	16869142	2
2018-11-23 10:47:55.42	SHARE	SIF1	REGS	2.220000	2000	16869143	2
2018-11-23 10:47:55.422	SHARE	SIF1	REGS	2.220000	300	16869144	2
2018-11-23 10:48:13.858	SHARE-INT	DBK	XRSI	38.800000	8	16869145	2
2018-11-23 10:48:19.511	SHARE	ARS	REGS	4.980000	10	16869146	1
2018-11-23 10:48:22.203	SHARE	EFO	REGS	0.088800	15587	16869147	1
2018-11-23 10:48:22.205	SHARE	EFO	REGS	0.088800	4413	16869148	1
2018-11-23 10:48:35.321	SHARE	EFO	REGS	0.088800	3587	16869149	1
2018-11-23 10:48:42.237	SHARE	BRK	REGS	0.075600	50	16869150	1
2018-11-23 10:48:55.804	STR-PRD	BKDOWTL57	RGSP	6.250000	200	16869151	1
2018-11-23 10:49:13.508	SHARE	EFO	REGS	0.088800	6500	16869152	1
2018-11-23 10:49:14.233	SHARE	SIF1	REGS	2.210000	300	16869153	2
2018-11-23 10:49:14.235	SHARE	SIF1	REGS	2.210000	165	16869154	2
2018-11-23 10:49:14.237	SHARE	SIF1	REGS	2.200000	2535	16869155	2
2018-11-23 10:49:26.993	SHARE	EFO	REGS	0.088800	1500	16869156	1
2018-11-23 10:50:25.626	SHARE	EFO	REGS	0.088800	3500	16869157	2
2018-11-23 10:50:33.216	SHARE	CNTE	REGS	21.000000	30	16869158	2
2018-11-23 10:50:41.488	SHARE	BRD	REGS	13.480000	30	16869159	1
2018-11-23 10:50:49.552	SHARE	EFO	REGS	0.088800	8000	16869160	1
2018-11-23 10:50:49.554	SHARE	EFO	REGS	0.089000	67000	16869161	1
2018-11-23 10:50:54.524	SHARE	EFO	REGS	0.089000	13000	16869162	1
2018-11-23 10:51:00.301	SHARE	SFG	REGS	20.000000	19	16869163	2
2018-11-23 10:51:00.303	SHARE	SFG	REGS	20.000000	20	16869164	2
2018-11-23 10:51:36.091	SHARE	SEVE	XRS1	3.600000	90	16869165	2
2018-11-23 10:51:38.236	SHARE	EFO	REGS	0.089200	6500	16869166	1
2018-11-23 10:51:57.096	SHARE	EFO	REGS	0.089200	3050	16869167	1
2018-11-23 10:51:57.435	SHARE	SNG	REGS	35.350000	42	16869168	2
2018-11-23 10:52:15.963	SHARE	TLV	REGS	2.340000	1	16869169	1
2018-11-23 10:52:19.028	SHARE	EFO	REGS	0.089400	950	16869170	1
2018-11-23 10:52:52.334	SHARE	SIF3	REGS	0.200000	1900	16869171	2
2018-11-23 10:52:52.336	SHARE	SIF3	REGS	0.200000	600	16869172	2
2018-11-23 10:53:22.993	SHARE	SFG	REGS	20.000000	6255	16869173	2
2018-11-23 10:53:27.896	SHARE	EFO	REGS	0.089000	17000	16869174	2
2018-11-23 10:53:30.949	SHARE	TBM	REGS	0.242000	6500	16869175	1
2018-11-23 10:54:08.989	SHARE	EFO	REGS	0.088800	3983	16869176	2
2018-11-23 10:54:17.264	SHARE	ENP	REGS	0.360000	10	16869177	1
2018-11-23 10:54:57.689	STR-PRD	EBDAXTL52	RGSP	18.800000	30	16869178	2
2018-11-23 10:55:00.885	SHARE	SIF1	REGS	2.210000	6	16869179	2
2018-11-23 10:55:09.357	SHARE	SIF2	REGS	1.270000	10	16869180	2
2018-11-23 10:55:18.9	SHARE	SIF3	REGS	0.200000	32	16869181	2
2018-11-23 10:55:28.94	SHARE	SIF4	REGS	0.598000	1023	16869182	2
2018-11-23 10:55:35.6	SHARE	EFO	REGS	0.088800	17	16869183	1
2018-11-23 10:55:35.602	SHARE	EFO	REGS	0.088800	8000	16869184	1
2018-11-23 10:55:39.484	SHARE	SIF5	REGS	2.065000	10	16869185	2
2018-11-23 10:56:01.682	SHARE	EFO	REGS	0.089000	4000	16869186	1
2018-11-23 10:57:18.858	SHARE	SNP	REGS	0.364000	2500	16869187	1
2018-11-23 10:57:20.864	SHARE	DIGI	REGS	29.250000	15	16869188	2
2018-11-23 10:57:20.867	SHARE	DIGI	REGS	29.200000	15	16869189	2
2018-11-23 10:57:20.869	SHARE	DIGI	REGS	29.200000	250	16869190	2
2018-11-23 10:58:04.656	SHARE	BRD	REGS	13.480000	520	16869191	1
2018-11-23 10:58:04.658	SHARE	BRD	REGS	13.480000	100	16869192	1
2018-11-23 10:58:04.659	SHARE	BRD	REGS	13.480000	1000	16869193	1
2018-11-23 10:58:04.663	SHARE	BRD	REGS	13.500000	530	16869194	1
2018-11-23 10:58:47.231	SHARE	EFO	REGS	0.089000	79000	16869195	1
2018-11-23 10:58:47.233	SHARE	EFO	REGS	0.089000	1000	16869196	1
2018-11-23 10:59:39.909	SHARE	EFO	REGS	0.089000	7000	16869197	1
2018-11-23 10:59:46.477	SHARE	SIF5	REGS	2.075000	120	16869198	1
2018-11-23 11:00:09.438	STR-PRD	EBWTITS22	RGSP	11.860000	200	16869199	1
2018-11-23 11:00:13.825	SHARE	SNP	REGS	0.364000	47101	16869200	1
2018-11-23 11:00:13.827	SHARE	SNP	REGS	0.364000	6899	16869201	1
2018-11-23 11:00:39.765	SHARE	EFO	REGS	0.089000	3000	16869202	2
2018-11-23 11:00:39.766	SHARE	EFO	REGS	0.089000	20000	16869203	2
2018-11-23 11:01:09.596	SHARE	EFO	REGS	0.089000	6983	16869204	1
2018-11-23 11:01:17.399	SHARE	FP	REGS	0.939000	10000	16869205	1
2018-11-23 11:01:45.01	SHARE	TEL	REGS	22.900000	38	16869206	1
2018-11-23 11:01:45.013	SHARE	TEL	REGS	22.950000	162	16869207	1
2018-11-23 11:02:32.887	SHARE	SIF3	REGS	0.201000	1545	16869208	1
2018-11-23 11:02:32.889	SHARE	SIF3	REGS	0.201000	455	16869209	1
2018-11-23 11:03:25.461	SHARE	COTE	REGS	85.400000	90	16869210	1
2018-11-23 11:03:25.463	SHARE	COTE	REGS	85.400000	16	16869211	1
2018-11-23 11:03:25.464	SHARE	COTE	REGS	85.400000	20	16869212	1
2018-11-23 11:03:25.465	SHARE	COTE	REGS	85.400000	162	16869213	1
2018-11-23 11:03:25.468	SHARE	COTE	REGS	85.500000	30	16869214	1
2018-11-23 11:03:25.469	SHARE	COTE	REGS	85.600000	32	16869215	1
2018-11-23 11:03:31.932	SHARE	SIF3	REGS	0.200500	20000	16869216	2
2018-11-23 11:03:31.936	SHARE	SIF3	REGS	0.200000	174368	16869217	2
2018-11-23 11:03:31.937	SHARE	SIF3	REGS	0.200000	5632	16869218	2
2018-11-23 11:04:18.295	SHARE	SNN	REGS	9.000000	7000	16869219	1
2018-11-23 11:04:57.401	SHARE	SIF5	REGS	2.075000	2870	16869220	1
2018-11-23 11:05:06.614	SHARE	SIF3	REGS	0.200000	9748	16869221	2
2018-11-23 11:05:06.615	SHARE	SIF3	REGS	0.200000	3500	16869222	2
2018-11-23 11:05:38.281	SHARE	SIF5	REGS	2.080000	100	16869223	1
2018-11-23 11:05:43.715	STR-PRD	RCSPX	RGSP	108.370000	2	16869224	1
2018-11-23 11:06:35.815	STR-PRD	BKDOWTL57	RGSP	6.180000	40	16869225	2
2018-11-23 11:07:04.565	SHARE	SIF3	REGS	0.200000	18000	16869226	1
2018-11-23 11:07:32.983	SHARE	SNN	REGS	9.000000	400	16869227	1
2018-11-23 11:07:40.425	SHARE	SNG	REGS	35.350000	8	16869228	1
2018-11-23 11:07:48.223	SHARE	CEON	REGS	0.336000	8000	16869229	1
2018-11-23 11:08:12.096	SHARE	SNG	REGS	35.400000	90	16869230	1
2018-11-23 11:08:12.098	SHARE	SNG	REGS	35.400000	100	16869231	1
2018-11-23 11:08:12.1	SHARE	SNG	REGS	35.400000	100	16869232	1
2018-11-23 11:08:12.101	SHARE	SNG	REGS	35.400000	20	16869233	1
2018-11-23 11:08:12.102	SHARE	SNG	REGS	35.400000	470	16869234	1
2018-11-23 11:08:14.878	SHARE	TBM	REGS	0.242000	845	16869235	1
2018-11-23 11:08:42.423	SHARE	SIF4	REGS	0.600000	5000	16869236	1
2018-11-23 11:08:47.262	BOND	BNET22	XRB	104.030000	5	16869237	2
2018-11-23 11:08:47.264	BOND	BNET22	XRB	104.030000	16	16869238	2
2018-11-23 11:08:47.266	BOND	BNET22	XRB	104.020000	11	16869239	2
2018-11-23 11:08:47.268	BOND	BNET22	XRB	104.000000	9	16869240	2
2018-11-23 11:08:48.178	SHARE	SNP	REGS	0.364000	1000	16869241	1
2018-11-23 11:08:49.034	SHARE	EL	REGS	10.900000	259	16869242	1
2018-11-23 11:09:18.52	SHARE	SIF4	REGS	0.598000	6365	16869243	2
2018-11-23 11:09:18.522	SHARE	SIF4	REGS	0.598000	1100	16869244	2
2018-11-23 11:09:18.523	SHARE	SIF4	REGS	0.598000	500	16869245	2
2018-11-23 11:09:18.527	SHARE	SIF4	REGS	0.596000	11953	16869246	2
2018-11-23 11:09:18.528	SHARE	SIF4	REGS	0.596000	5000	16869247	2
2018-11-23 11:09:18.529	SHARE	SIF4	REGS	0.596000	500	16869248	2
2018-11-23 11:09:18.53	SHARE	SIF4	REGS	0.596000	2000	16869249	2
2018-11-23 11:09:18.532	SHARE	SIF4	REGS	0.596000	450	16869250	2
2018-11-23 11:09:18.533	SHARE	SIF4	REGS	0.596000	2132	16869251	2
2018-11-23 11:09:24.925	BOND	SBG20	XRB	104.200000	35	16869252	2
2018-11-23 11:09:24.927	BOND	SBG20	XRB	104.200000	25	16869253	2
2018-11-23 11:09:24.929	BOND	SBG20	XRB	104.100000	6	16869254	2
2018-11-23 11:09:24.931	BOND	SBG20	XRB	104.060000	10	16869255	2
2018-11-23 11:09:24.933	BOND	SBG20	XRB	104.020000	16	16869256	2
2018-11-23 11:09:24.935	BOND	SBG20	XRB	104.010000	27	16869257	2
2018-11-23 11:09:49.127	SHARE	SNP	REGS	0.364000	50000	16869258	1
2018-11-23 11:09:54.082	BOND	FRU21	XRB	102.010000	13	16869259	2
2018-11-23 11:09:54.085	BOND	FRU21	XRB	102.000000	12	16869260	2
2018-11-23 11:10:32.615	SHARE	SNP	REGS	0.364000	14101	16869261	1
2018-11-23 11:11:10.309	SHARE	EFO	REGS	0.089000	25000	16869262	1
2018-11-23 11:11:30.46	SHARE	SIF3	REGS	0.200000	18752	16869263	1
2018-11-23 11:11:30.463	SHARE	SIF3	REGS	0.201000	248	16869264	1
2018-11-23 11:11:51.58	SHARE	ELGS	REGS	1.200000	5999	16869265	2
2018-11-23 11:14:14.74	SHARE	BVB	REGS	22.800000	1	16869266	1
2018-11-23 11:15:41.497	SHARE	FP	REGS	0.938000	30	16869267	1
2018-11-23 11:15:56.357	SHARE	ELGS	REGS	1.200000	1778	16869268	2
2018-11-23 11:16:20.289	SHARE	SNP	REGS	0.364000	20000	16869269	2
2018-11-23 11:17:50.637	BOND	FRU21	XRB	102.000000	6	16869270	2
2018-11-23 11:17:58.763	SHARE	SNG	REGS	35.350000	6	16869271	2
2018-11-23 11:17:58.766	SHARE	SNG	REGS	35.250000	10	16869272	2
2018-11-23 11:17:58.768	SHARE	SNG	REGS	35.200000	75	16869273	2
2018-11-23 11:17:58.77	SHARE	SNG	REGS	35.200000	20	16869274	2
2018-11-23 11:17:58.771	SHARE	SNG	REGS	35.200000	800	16869275	2
2018-11-23 11:17:58.773	SHARE	SNG	REGS	35.200000	1689	16869276	2
2018-11-23 11:18:16.608	SHARE	SNN	REGS	9.000000	600	16869277	1
2018-11-23 11:18:16.609	SHARE	SNN	REGS	9.000000	5250	16869278	1
2018-11-23 11:18:28.664	SHARE	SNP	REGS	0.364000	5899	16869279	2
2018-11-23 11:18:28.667	SHARE	SNP	REGS	0.363000	230	16869280	2
2018-11-23 11:18:28.668	SHARE	SNP	REGS	0.363000	1000	16869281	2
2018-11-23 11:18:28.669	SHARE	SNP	REGS	0.363000	3000	16869282	2
2018-11-23 11:18:28.671	SHARE	SNP	REGS	0.363000	1000	16869283	2
2018-11-23 11:18:28.672	SHARE	SNP	REGS	0.363000	810	16869284	2
2018-11-23 11:18:28.674	SHARE	SNP	REGS	0.363000	36830	16869285	2
2018-11-23 11:18:28.676	SHARE	SNP	REGS	0.362500	50000	16869286	2
2018-11-23 11:18:28.677	SHARE	SNP	REGS	0.362500	3000	16869287	2
2018-11-23 11:18:28.679	SHARE	SNP	REGS	0.362500	40000	16869288	2
2018-11-23 11:18:28.681	SHARE	SNP	REGS	0.362000	3060	16869289	2
2018-11-23 11:18:28.682	SHARE	SNP	REGS	0.362000	13800	16869290	2
2018-11-23 11:18:28.684	SHARE	SNP	REGS	0.362000	5000	16869291	2
2018-11-23 11:18:28.685	SHARE	SNP	REGS	0.362000	5000	16869292	2
2018-11-23 11:18:28.687	SHARE	SNP	REGS	0.362000	5000	16869293	2
2018-11-23 11:18:28.688	SHARE	SNP	REGS	0.362000	1000	16869294	2
2018-11-23 11:18:28.689	SHARE	SNP	REGS	0.362000	320	16869295	2
2018-11-23 11:18:28.691	SHARE	SNP	REGS	0.362000	800	16869296	2
2018-11-23 11:18:28.692	SHARE	SNP	REGS	0.362000	70000	16869297	2
2018-11-23 11:18:28.693	SHARE	SNP	REGS	0.362000	750	16869298	2
2018-11-23 11:18:28.695	SHARE	SNP	REGS	0.361500	2000	16869299	2
2018-11-23 11:18:28.697	SHARE	SNP	REGS	0.361500	2000	16869300	2
2018-11-23 11:18:28.698	SHARE	SNP	REGS	0.361500	25000	16869301	2
2018-11-23 11:18:28.7	SHARE	SNP	REGS	0.361000	1500	16869302	2
2018-11-23 11:18:28.702	SHARE	SNP	REGS	0.361000	25000	16869303	2
2018-11-23 11:18:28.704	SHARE	SNP	REGS	0.360500	2000	16869304	2
2018-11-23 11:18:28.706	SHARE	SNP	REGS	0.360000	4001	16869305	2
2018-11-23 11:18:46.174	SHARE	TLV	REGS	2.335000	28311	16869306	2
2018-11-23 11:18:46.176	SHARE	TLV	REGS	2.335000	11595	16869307	2
2018-11-23 11:19:33.614	SHARE	IARV	REGS	7.700000	200	16869308	1
2018-11-23 11:19:36.315	SHARE	SIF2	REGS	1.270000	200	16869309	2
2018-11-23 11:20:03.376	SHARE-ATS	MACO	XRS1	2.700000	200	16869310	1
2018-11-23 11:20:09.32	STR-PRD	EBWTITL41	RGSP	21.180000	89	16869311	1
2018-11-23 11:20:26.241	SHARE	TLV	REGS	2.340000	1	16869312	1
2018-11-23 11:20:46.329	SHARE	SIF3	REGS	0.199800	1000	16869313	2
2018-11-23 11:20:46.331	SHARE	SIF3	REGS	0.199800	230000	16869314	2
2018-11-23 11:20:54.751	SHARE	SNN	REGS	9.000000	979	16869315	2
2018-11-23 11:21:04.54	SHARE	TGN	REGS	351.500000	10	16869316	2
2018-11-23 11:21:16.578	SHARE	TGN	REGS	351.000000	24	16869317	2
2018-11-23 11:21:44.716	SHARE	TGN	REGS	350.000000	4	16869318	2
2018-11-23 11:21:44.718	SHARE	TGN	REGS	350.000000	62	16869319	2
2018-11-23 11:22:15.292	SHARE	FP	REGS	0.938000	90000	16869320	1
2018-11-23 11:22:26.507	SHARE	TEL	REGS	22.950000	838	16869321	1
2018-11-23 11:22:26.509	SHARE	TEL	REGS	22.950000	162	16869322	1
2018-11-23 11:22:47.467	SHARE	FP	REGS	0.938000	600	16869323	1
2018-11-23 11:22:51.16	SHARE	SIF3	REGS	0.199800	10000	16869324	1
2018-11-23 11:22:52.163	SHARE	TLV	REGS	2.335000	7905	16869325	2
2018-11-23 11:22:52.165	SHARE	TLV	REGS	2.335000	3800	16869326	2
